Код,Группа,Наименование,Стоимость услуги,Наименование лаборатории,Дата
010301,Сифилис,"Возбудитель сифилиса (Treponema pallidum), качественное определение ДНК",370 р.,CMD,17.12.2023
040205,Вирусные гепатиты,"Ag HCV ядерный антиген вируса гепатита C, количественное определение",3 360 р.,CMD,17.12.2023
030402,Вирусные гепатиты,"Вирус гепатита G (Hepatitis G Virus, РНК HGV, ВГG), качественное определение РНК",745 р.,CMD,17.12.2023
040402,Вирусные гепатиты,"Вирус гепатита Е (Hepatitis E Virus, Anti-HEV IgM), качественное определение антител класса IgM - anti-HEV IgM",825 р.,CMD,17.12.2023
040401,Вирусные гепатиты,"Вирус гепатита Е (Hepatitis E Virus, Anti-HEV IgG), качественное определение антител класса IgG - anti-HEV IgG",825 р.,CMD,17.12.2023
040302,Вирусные гепатиты,"Вирус гепатита D, антитела IgM (Anti-HDV, Hepatitis D Virus), качественное определение",720 р.,CMD,17.12.2023
040301,Вирусные гепатиты,"Вирус гепатита D (Hepatitis D Virus, Anti-HDV), качественное суммарное определение антител",720 р.,CMD,17.12.2023
030302,Вирусные гепатиты,"Вирус гепатита D (Hepatitis D Virus, РНК HDV, ВГD), качественное определение РНК",745 р.,CMD,17.12.2023
040203,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, Anti-HCV), качественное суммарное определение антител",625 р.,CMD,17.12.2023
040202,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, Anti-HCV IgM), качественное определение антител класса IgM",575 р.,CMD,17.12.2023
030211,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, РНК HCV, ВГС), количественное определение РНК (ультрачувствительный метод)",6 215 р.,CMD,17.12.2023
030208,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, РНК HCV, ВГС), качественное определение РНК (ультрачувствительный метод)",3 430 р.,CMD,17.12.2023
030207,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, РНК HCV, ВГС), расширенное определение генотипа (типы 1a, 1b, 2, 3a, 4, 5, 6)",2 970 р.,CMD,17.12.2023
030204,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus, РНК HCV, ВГС), количественное определение РНК",3 360 р.,CMD,17.12.2023
030202,Вирусные гепатиты,"Вирус гепатита С (Hepatitis C Virus), качественное определение РНК (плазма крови)",675 р.,CMD,17.12.2023
040109,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, Anti-HBcore), качественное суммарное определение антител к ядерному антигену",685 р.,CMD,17.12.2023
040108,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, поверхностный антиген вируса гепатита В, «австралийский антиген»), количественное определение поверхностного антигена - HBsAg",1 570 р.,CMD,17.12.2023
040107,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, Anti-HBe), качественное определение антител к HBe-антигену",715 р.,CMD,17.12.2023
040106,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, HBeAg), качественное определение HBe-антигена",715 р.,CMD,17.12.2023
040105,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, Anti-HBcore IgM), качественное определение антител класса IgM к ядерному антигену",785 р.,CMD,17.12.2023
040103,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, Anti-HBs), количественное определение антител к поверхностному антигену, количественное определеление антител к австралийскому антигену",760 р.,CMD,17.12.2023
040101,Вирусные гепатиты,"Вирус гепатита B (HBsAg, Hepatitis B Virus, «австралийский» антиген), качественное определение поверхностного антигена",415 р.,CMD,17.12.2023
030109,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, ДНК HBV, ВГB), количественное определение ДНК (ультрачувствительный метод)",4 550 р.,CMD,17.12.2023
030108,Вирусные гепатиты,"Вирус гепатита B (Hepatitis B Virus), определение мутаций устойчивости к противовирусным препаратам",10 615 р.,CMD,17.12.2023
030107,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, ДНК HBV, ВГВ), качественное определение ДНК (ультрачувствительный метод)",3 120 р.,CMD,17.12.2023
030106,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, ДНК HBV, ВГВ), определение генотипа",1 200 р.,CMD,17.12.2023
030104,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, ДНК HBV, ВГВ), количественное определение ДНК",2 680 р.,CMD,17.12.2023
030102,Вирусные гепатиты,"Вирус гепатита В (Hepatitis B Virus, ДНК HBV, ВГВ), качественное определение ДНК",600 р.,CMD,17.12.2023
040002,Вирусные гепатиты,"Вирус гепатита А (Hepatitis A Virus, Anti-HAV IgM), качественное определение антител класса IgM",725 р.,CMD,17.12.2023
040001,Вирусные гепатиты,"Вирус гепатита А (Hepatitis A Virus, Anti-HAV IgG), качественное определение антител класса IgG",690 р.,CMD,17.12.2023
030002,Вирусные гепатиты,"Вирус гепатита А (Hepatitis A Virus, РНК HAV, ВГА), качественное определение РНК",690 р.,CMD,17.12.2023
030608,Вирусные инфекции (в том числе TORCH инфекции),"ДНК цитомегаловируса (Cytomegalovirus), качественное определение",405 р.,CMD,17.12.2023
030607,Вирусные инфекции (в том числе TORCH инфекции),"ДНК Cytomegalovirus (Цитомегаловирус, ДНК CMV, CMV, ЦМВ), количественное определение в моче",460 р.,CMD,17.12.2023
041603,Вирусные инфекции (в том числе TORCH инфекции),"Определение индекса авидности IgG к токсоплазме (Toxoplasma gondii), полуколичественное определение",1 140 р.,CMD,17.12.2023
041602,Вирусные инфекции (в том числе TORCH инфекции),"Возбудитель токсоплазмоза (Тoxoplasma gondii), качественное определение антител класса IgМ",695 р.,CMD,17.12.2023
041601,Вирусные инфекции (в том числе TORCH инфекции),"Возбудитель токсоплазмоза (Тoxoplasma gondii), количественное определение антител класса IgG",575 р.,CMD,17.12.2023
020102,Вирусные инфекции (в том числе TORCH инфекции),"Возбудитель токсоплазмоза (Тoxoplasma gondii), качественное определение ДНК (кровь)",450 р.,CMD,17.12.2023
020101,Вирусные инфекции (в том числе TORCH инфекции),"Возбудитель токсоплазмоза (Тoxoplasma gondii), качественное определение ДНК",390 р.,CMD,17.12.2023
040903,Вирусные инфекции (в том числе TORCH инфекции),"Вирус краснухи (Rubella virus), определение индекса авидности специфичных антител, IgG",1 310 р.,CMD,17.12.2023
040902,Вирусные инфекции (в том числе TORCH инфекции),"Вирус краснухи (Rubella Virus, Anti-Rubella IgM), качественное определение антител класса IgM",735 р.,CMD,17.12.2023
040901,Вирусные инфекции (в том числе TORCH инфекции),"Вирус краснухи (Rubella Virus), количественное определение антител класса IgG",565 р.,CMD,17.12.2023
032202,Вирусные инфекции (в том числе TORCH инфекции),"Вирус краснухи (Rubella Virus), качественное определение РНК (мазок из ротоглотки, АЖ)",840 р.,CMD,17.12.2023
032201,Вирусные инфекции (в том числе TORCH инфекции),"Вирус краснухи (РНК Rubella virus), качественное определение РНК в крови",840 р.,CMD,17.12.2023
170205,Вирусные инфекции (в том числе TORCH инфекции),"Герпесвирусы (Herpes simplex virus I,II (HSV I,II) / Cytomegalovirus (CMV)), качественное определение ДНК",520 р.,CMD,17.12.2023
170204,Вирусные инфекции (в том числе TORCH инфекции),"Герпесвирусы (Herpes simplex virus I,II (HSV I,II) / Cytomegalovirus (CMV)), качественное определение ДНК (цельная кровь)",790 р.,CMD,17.12.2023
170203,Вирусные инфекции (в том числе TORCH инфекции),"Герпесвирусы (Herpes simplex virus I,II (HSV I,II) / Cytomegalovirus (CMV)), качественное определение ДНК (соскоб)",495 р.,CMD,17.12.2023
170202,Вирусные инфекции (в том числе TORCH инфекции),"Герпесвирусы (Epstein-Barr virus / Cytomegalovirus / Human herpes virus VI), количественное определение ДНК в клетках крови (цельная кровь)",1 190 р.,CMD,17.12.2023
170201,Вирусные инфекции (в том числе TORCH инфекции),"Герпесвирусы (Epstein-Barr virus / Cytomegalovirus / Human herpes virus VI), количественное определение ДНК",915 р.,CMD,17.12.2023
040803,Вирусные инфекции (в том числе TORCH инфекции),"Определение индекса авидности IgG к цитомегаловирусу (индекс авидности IgG к цитомегаловирусу, ЦМВ, CMV), полуколичественное определение",1 210 р.,CMD,17.12.2023
040802,Вирусные инфекции (в том числе TORCH инфекции),"Антитела IgM к цитомегаловирусу (Anti-CMV IgM, ЦМВ, Цитомегаловирус), качественное определение",685 р.,CMD,17.12.2023
040801,Вирусные инфекции (в том числе TORCH инфекции),"Цитомегаловирус (ЦМВ, антитела к цитомегаловирусу, анти-ЦМВ, Anti-CMV-IgG, Cytomegalovirus, CMV), количественное определение антител класса IgG",585 р.,CMD,17.12.2023
030605,Вирусные инфекции (в том числе TORCH инфекции),"ДНК Cytomegalovirus (Цитомегаловирус, ДНК CMV, CMV, ЦМВ), количественное определение",475 р.,CMD,17.12.2023
030604,Вирусные инфекции (в том числе TORCH инфекции),"Цитомегаловирус (ДНК CMV, Cytomegalovirus, CMV, ЦМВ), количественное определение ДНК в плазме",720 р.,CMD,17.12.2023
030603,Вирусные инфекции (в том числе TORCH инфекции),"Цитомегаловирус (Cytomegalovirus, CMV), количественное определение ДНК в клетках крови",465 р.,CMD,17.12.2023
040707,Вирусные инфекции (в том числе TORCH инфекции),"Вирус простого герпеса 1 и 2 типа (anti-HSV-1/2, ВПГ-1/2), определение индекса авидности специфических антител, IgG",790 р.,CMD,17.12.2023
040704,Вирусные инфекции (в том числе TORCH инфекции),"Вирус простого герпеса (Herpes simplex virus, HSV, Anti-HSV-1,2) 1 и 2 типа, IgM",610 р.,CMD,17.12.2023
040703,Вирусные инфекции (в том числе TORCH инфекции),"Вирус простого герпеса (Herpes simplex virus, HSV, Anti-HSV-1,2) 1 и 2 типа, IgG",610 р.,CMD,17.12.2023
040702,Вирусные инфекции (в том числе TORCH инфекции),"Антитела к вирусу простого герпеса 2 типа (anti-HSV 2, ВПГ-2), IgG",670 р.,CMD,17.12.2023
040701,Вирусные инфекции (в том числе TORCH инфекции),"Антитела к вирусу простого герпеса 1 типа (anti-HSV 1, ВПГ-1), IgG",765 р.,CMD,17.12.2023
030703,Вирусные инфекции (в том числе TORCH инфекции),"Вирус простого герпеса 1 и 2 типа (Herpes simplex virus I-II, HSV I и II типа), качественное определение ДНК",425 р.,CMD,17.12.2023
030702,Вирусные инфекции (в том числе TORCH инфекции),"Вирус простого герпеса 1 и 2 типа (Herpes simplex virus I-II, HSV I и II типа), качественное определение ДНК",365 р.,CMD,17.12.2023
170008,Инфекции мочеполовой системы (в том числе ИППП),"Neisseria gonorrhoeae / Chlamydia trachomatis / Mycoplasma genitalium / Trichomonas vaginalis, качественное определение ДНК",940 р.,CMD,17.12.2023
031222,Инфекции мочеполовой системы (в том числе ИППП),"ВПЧ генотип-титр-14: выявление, типирование и количественное определение ДНК ВПЧ ВКР 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 типов",1 670 р.,CMD,17.12.2023
031221,Инфекции мочеполовой системы (в том числе ИППП),"ВПЧ скрин-титр-14: выявление и количественное определение ДНК ВПЧ ВКР 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 66, 68 типов с отдельным определением 16, 18 и 45 типов",1 030 р.,CMD,17.12.2023
031225,Инфекции мочеполовой системы (в том числе ИППП),"ДНК ВПЧ высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), качественное определение с указанием типа вируса (соскоб слизистой прямой кишки)",880 р.,CMD,17.12.2023
031224,Инфекции мочеполовой системы (в том числе ИППП),"ДНК ВПЧ высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), качественное определение с указанием типа вируса (мазок слизистой ротоглотки)",880 р.,CMD,17.12.2023
010113,Инфекции мочеполовой системы (в том числе ИППП),Выявление мутаций резистентности в ДНК Mycoplasma genitalium,785 р.,CMD,17.12.2023
010408,Инфекции мочеполовой системы (в том числе ИППП),"Гонококк (ДНК Neisseria gonorrhoeae, N. gonorrhoeae, нейссерия, гонококк), количественное определение ДНК",510 р.,CMD,17.12.2023
170006,Инфекции мочеполовой системы (в том числе ИППП),"Комплексное исследование ИППП (Chlamydia trachomatis, Mycoplasma genitalium, Neisseria gonorrhoeae, Trichomonas vaginalis), количественное определение ДНК",1 095 р.,CMD,17.12.2023
030701,Инфекции мочеполовой системы (в том числе ИППП),"Вирус простого герпеса 1 и 2 типа (Herpes simplex virus I-II, HSV I и II типа), качественное определение ДНК",320 р.,CMD,17.12.2023
030601,Инфекции мочеполовой системы (в том числе ИППП),"Цитомегаловирус (ДНК CMV, Cytomegalovirus, CMV, ЦМВ), качественное определение ДНК",320 р.,CMD,17.12.2023
010601,Инфекции мочеполовой системы (в том числе ИППП),"Возбудитель туберкулеза (Mycobacterium tuberculosis-complex), качественное определение ДНК",360 р.,CMD,17.12.2023
020202,Инфекции мочеполовой системы (в том числе ИППП),"Возбудитель трихомоноза (Trichomonas vaginalis), количественное определение ДНК",510 р.,CMD,17.12.2023
020201,Инфекции мочеполовой системы (в том числе ИППП),"Возбудитель трихомоноза (Trichomonas vaginalis), качественное определение ДНК",335 р.,CMD,17.12.2023
000004,Инфекции мочеполовой системы (в том числе ИППП),"Возбудитель трихомоноза (Trichomonas vaginalis), определение рибосомальной РНК методом NASBA",1 970 р.,CMD,17.12.2023
010404,Инфекции мочеполовой системы (в том числе ИППП),"Гонококк (ДНК Neisseria gonorrhoeae, N. gonorrhoeae, нейссерия, возбудитель гонореи), количественное определение ДНК",510 р.,CMD,17.12.2023
010401,Инфекции мочеполовой системы (в том числе ИППП),"Гонококк (ДНК Neisseria gonorrhoeae, N. gonorrhoeae, нейссерия, возбудитель гонореи), качественное определение ДНК",335 р.,CMD,17.12.2023
000002,Инфекции мочеполовой системы (в том числе ИППП),"Гонококк (ДНК Neisseria gonorrhoeae, N. gonorrhoeae, нейссерия, гонококк), определение рибосомальной РНК методом NASBA",1 970 р.,CMD,17.12.2023
170301,Инфекции мочеполовой системы (в том числе ИППП),"Бактериальный вагиноз (Gardnerella vaginalis / Atopobium vaginae / Lactobacillus sp / количество клеток), количественное определение ДНК",1 970 р.,CMD,17.12.2023
170002,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазмы, комплексное исследование (Ureaplasma parvum, Ureaplasma urealyticum, Mycoplasma hominis), количественное определение ДНК (соскоб и др.)",1 050 р.,CMD,17.12.2023
042003,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgM к Ureaplasma urealyticum (Anti-Ureaplasma urealyticum IgM, уреаплазма), качественное определение",630 р.,CMD,17.12.2023
042002,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgA к Ureaplasma urealyticum (Anti-Ureaplasma urealyticum IgA, уреаплазма), качественное определение",630 р.,CMD,17.12.2023
042001,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgG к уреаплазме (Anti-Ureaplasma urealyticum IgG), качественное определение",630 р.,CMD,17.12.2023
041506,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgA к Mycoplasma hominis (Anti-Mycoplasma hominis IgA, микоплазма), качественное определение",805 р.,CMD,17.12.2023
041502,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgM к Mycoplasma hominis (Anti-Mycoplasma hominis IgM, микоплазма), качественное определение",575 р.,CMD,17.12.2023
041501,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgG к Mycoplasma hominis (Anti-Mycoplasma hominis IgG), качественное определение",575 р.,CMD,17.12.2023
010110,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазма (Mycoplasma genitalium, ДНК M.genitalium, микоплазма гениталиум), количественное определение ДНК",510 р.,CMD,17.12.2023
010109,Инфекции мочеполовой системы (в том числе ИППП),"Уреаплазма (Ureaplasma urealyticum / Ureaplasma parvum), количественное определение ДНК",510 р.,CMD,17.12.2023
010104,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазма (Mycoplasma hominis, ДНК M. hominis), количественное определение ДНК",510 р.,CMD,17.12.2023
010101,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазма (Mycoplasma hominis, ДНК M. hominis), качественное определение ДНК",335 р.,CMD,17.12.2023
000003,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазма (Mycoplasma genitalium), определение рибосомальной РНК методом NASBA",1 970 р.,CMD,17.12.2023
041407,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgM к Chlamydia trachomatis (Anti-Chlamydia trachomatis IgM, хламидия), качественное определение",615 р.,CMD,17.12.2023
041402,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgA к Chlamydia trachomatis (Anti-Chlamydia trachomatis IgA, хламидия), полуколичественное определение",695 р.,CMD,17.12.2023
041401,Инфекции мочеполовой системы (в том числе ИППП),"Антитела IgG к Chlamydia trachomatis (Anti-Chlamydia trachomatis IgG, хламидия), полуколичественное определение",695 р.,CMD,17.12.2023
010003,Инфекции мочеполовой системы (в том числе ИППП),"Хламидия (Chlamydia trachomatis), количественное определение ДНК",510 р.,CMD,17.12.2023
000001,Инфекции мочеполовой системы (в том числе ИППП),"Хламидия (Chlamydia trachomatis), определение рибосомальной РНК методом NASBA",1 970 р.,CMD,17.12.2023
010201,Инфекции мочеполовой системы (в том числе ИППП),"Гарднерелла (Gardnerella vaginalis), качественное определение ДНК",335 р.,CMD,17.12.2023
010107,Инфекции мочеполовой системы (в том числе ИППП),"Уреаплазма (Ureaplasma urealyticum / Ureaplasma parvum), качественное определение ДНК",335 р.,CMD,17.12.2023
010102,Инфекции мочеполовой системы (в том числе ИППП),"Микоплазма (Mycoplasma genitalium, ДНК M.genitalium, микоплазма гениталиум), качественное определение ДНК",335 р.,CMD,17.12.2023
010001,Инфекции мочеполовой системы (в том числе ИППП),"Хламидия (Chlamydia trachomatis), качественное определение ДНК",335 р.,CMD,17.12.2023
170007,Инфекции мочеполовой системы (в том числе ИППП),"ДНК Treponema pallidum / Herpes simplex virus I/II типа, качественное определение",950 р.,CMD,17.12.2023
000005,Инфекции мочеполовой системы (в том числе ИППП),"Комплексное исследование ИППП, качественное определение рибосомальной РНК методом NASBA",6 005 р.,CMD,17.12.2023
170005,Инфекции мочеполовой системы (в том числе ИППП),"Урогенитальные инфекции у женщин (N.gonorrhoeae / C.trachomatis / M.genitalium / T.vaginalis // U.parvum/urealyticum/M.hominis // C.albicans/glabrata/crusei/parapsilosis и tropicalis // Бактериальный вагиноз), количественное определение ДНК",2 390 р.,CMD,17.12.2023
170004,Инфекции мочеполовой системы (в том числе ИППП),"Урогенитальные инфекции у мужчин, количественное определение ДНК",1 785 р.,CMD,17.12.2023
170001,Инфекции мочеполовой системы (в том числе ИППП),"Комплексное исследование ИППП, количественное определение ДНК",1 205 р.,CMD,17.12.2023
310004,Инфекции мочеполовой системы (в том числе ИППП),Флороценоз и NCMT и Микроскопия,3 135 р.,CMD,17.12.2023
310003,Инфекции мочеполовой системы (в том числе ИППП),Флороценоз и NCMT,2 495 р.,CMD,17.12.2023
310002,Инфекции мочеполовой системы (в том числе ИППП),Флороценоз и Микроскопия,2 050 р.,CMD,17.12.2023
310001,Инфекции мочеполовой системы (в том числе ИППП),Флороценоз,1 565 р.,CMD,17.12.2023
031209,Папилломавирусная инфекция,"Вирус папилломы человека (Human papillomavirus, HPV, ВПЧ) высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59), качественное определение ДНК с указанием типа вируса",905 р.,CMD,17.12.2023
031208,Папилломавирусная инфекция,"Вирус папилломы человека (Human papillomavirus, HPV, ВПЧ) высокого канцерогенного риска (16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68), суммарное качественное определение ДНК",895 р.,CMD,17.12.2023
031203,Папилломавирусная инфекция,"Вирус папилломы человека (Human papillomovirus, HPV, ВПЧ) 6/11, качественное определение ДНК",415 р.,CMD,17.12.2023
031201,Папилломавирусная инфекция,"Вирус папилломы человека (Human papillomovirus, HPV, ВПЧ) 16/18, качественное определение ДНК",345 р.,CMD,17.12.2023
011202,Возбудители кишечных инфекций,ЭНТЕРОФЛОР. Дети. Определение состояния микробиоты толстого кишечника методом ПЦР,4 450 р.,CMD,17.12.2023
010703,Возбудители кишечных инфекций,"ДНК Helicobacter pylori (Хеликобактер пилори), качественное определение в биоптате",680 р.,CMD,17.12.2023
010702,Возбудители кишечных инфекций,"ДНК Helicobacter pylori (Хеликобактер пилори), качественное определение в кале",680 р.,CMD,17.12.2023
011215,Возбудители кишечных инфекций,"Выявление возбудителей вирусных и бактериальных кишечных инфекций (РНК/ДНК Rotavirus A/Norovirus GI,GII/Astrovirus/Adenovirus(F)/Enterovirus/ДНК Shigella spp.+E.coli (EIEC)/S.dysenteriae I типа+E.coli (EHEC)/Salmonella spp./Campylobacter spp.), кач.",1 760 р.,CMD,17.12.2023
011210,Возбудители кишечных инфекций,"Диарогенные эшерихиозы (EPEC / ETEC / EIEC / EHEC/ EAgEC), качественное определение ДНК",1 000 р.,CMD,17.12.2023
031303,Возбудители кишечных инфекций,"Энтеровирус (Enterovirus, RNA, Fecal), качественное определение РНК в кале",625 р.,CMD,17.12.2023
050201,Возбудители кишечных инфекций,"Возбудители шигеллеза (Shigella flexneri 1-V, V1 и Shigella sonnei), полуколичественное определение антител",590 р.,CMD,17.12.2023
049002,Возбудители кишечных инфекций,"Helicobacter pylori, 13C - уреазный дыхательный тест (определение уреазной активности)",2 410 р.,CMD,17.12.2023
041302,Возбудители кишечных инфекций,"Хеликобактер (Helicobacter pylori), количественное определение антител класса IgG",620 р.,CMD,17.12.2023
041301,Возбудители кишечных инфекций,"Хеликобактер (Helicobacter pylori), качественное определение антител класса IgA",790 р.,CMD,17.12.2023
050501,Возбудители кишечных инфекций,"Возбудитель брюшного тифа (Salmonella typhi), полуколичественное определение антител к Vi антигену",735 р.,CMD,17.12.2023
050401,Возбудители кишечных инфекций,"Возбудители сальмонеллеза (Salmonella), полуколичественное определение антител к сероварам A, B, C1, C2, D, E",795 р.,CMD,17.12.2023
041702,Возбудители кишечных инфекций,"Возбудитель лямблиоза (Giardia Lamblia), полуколичественное определение антител класса IgM",610 р.,CMD,17.12.2023
041701,Возбудители кишечных инфекций,"Возбудитель лямблиоза (Giardia Lamblia), полуколичественное суммарное определение антител класса IgG, IgA и IgM",660 р.,CMD,17.12.2023
011209,Возбудители кишечных инфекций,"Выявление возбудителей вирусных кишечных инфекций (РНК/ДНК Rotavirus A / Norovirus GI и GII / Astrovirus / Adenovirus (группа F) / Enterovirus), качественное определение",1 370 р.,CMD,17.12.2023
011208,Возбудители кишечных инфекций,"Выявление возбудителей бактериальных кишечных инфекций (ДНК Shigella spp. + E.coli (EIEC, энтероинвазивные штаммы) / S.dysenteriae I типа + E.coli (EHEC, энтерогеморрагические штаммы) / Salmonella spp. / Campylobacter spp.), качественное определение",970 р.,CMD,17.12.2023
011212,Возбудители кишечных инфекций,"ДНК Yersinia enterocolitica и Yersinia pseudotuberculosis (иерсиния энтероколитика и иерсиния псевдотуберкулезис), качественное определение",630 р.,CMD,17.12.2023
050301,Возбудители кишечных инфекций,"Возбудители иерсиниоза и псевдотуберкулеза (Yersinia enterocolitica и Yersinia pseudotuberculosis), полуколичественное определение антител",750 р.,CMD,17.12.2023
041912,Глистные инвазии,"Антитела IgG к печеночному сосальщику, печеночной двуустке (Anti-Fasciola hepatica IgG, Возбудитель фасциолеза)",1 010 р.,CMD,17.12.2023
041911,Глистные инвазии,"Возбудитель тениоза (Taenia solium), IgG, полуколичественное определение",975 р.,CMD,17.12.2023
041909,Глистные инвазии,"Антитела IgG к шистосомам (Anti-Schistosoma spp IgG ИП 16/18, Возбудитель шистосомоза)",970 р.,CMD,17.12.2023
041906,Глистные инвазии,"Возбудитель аскаридоза (Ascaris lumbricoides), IgG",960 р.,CMD,17.12.2023
041904,Глистные инвазии,"Возбудитель трихинеллёза (Trichinella spp), IgG",590 р.,CMD,17.12.2023
041903,Глистные инвазии,"Возбудитель токсокароза (Toxocara spp), IgG",695 р.,CMD,17.12.2023
041902,Глистные инвазии,"Антитела IgG к эхинококкам (Возбудитель эхинококкоза, Echinococcus spp, Anti-Echinococcus granulosus)",890 р.,CMD,17.12.2023
041901,Глистные инвазии,"Возбудитель описторхоза, IgG (Opisthorchis spp, Anti-Opisthorchis felineus IgG, антитела IgG к описторхисам)",870 р.,CMD,17.12.2023
010651,Возбудители респираторных инфекций,"ДНК легионеллы (Legionella pneumophila), качественное определение",650 р.,CMD,17.12.2023
044404,Возбудители респираторных инфекций,"Диагностика туберкулеза. ТБ-фероновый тест, определение T-клеточного ответа на рекомбинантный ТБ-антиген, ассоциированный с инфекцией, вызванной M.tuberculosis",6 110 р.,CMD,17.12.2023
170100,Возбудители респираторных инфекций,"ДНК Streptococcus pneumoniae и Haemophilus influenzae, количественное определение",615 р.,CMD,17.12.2023
170099,Возбудители респираторных инфекций,"ДНК Streptococcus pneumoniae и Haemophilus influenzae, количественное определение в цельной крови",615 р.,CMD,17.12.2023
044763,Возбудители респираторных инфекций,"Выявление специфических антител IgG к антигенам вакцины ЭпиВакКорона, качественное определение",825 р.,CMD,17.12.2023
044762,Возбудители респираторных инфекций,"COVID-19. Нейтрализующие антитела к RBD белка S1 коронавируса SARS-CoV-2, IgG, количественное определение",1 150 р.,CMD,17.12.2023
170123,Возбудители респираторных инфекций,"РНК SARS-CoV-2 (COVID-19), количественное определение. Выявление всех распространенных штаммов коронавируса SARS-CoV-2, в том числе вариант «Омикрон» и его субвариант «Кентавр»",1 350 р.,CMD,17.12.2023
044752,Возбудители респираторных инфекций,"COVID-19. Антитела к S-белку коронавируса SARS-CoV-2, IgM, качественное определение",900 р.,CMD,17.12.2023
170119,Возбудители респираторных инфекций,"РНК SARS-CoV-2 (COVID-19), качественное определение (срок выполнения 12 часов). Выявление всех распространенных штаммов коронавируса SARS-CoV-2, в том числе вариант «Омикрон» и его субвариант «Кентавр»",1 750 р.,CMD,17.12.2023
044750,Возбудители респираторных инфекций,"COVID-19. Антитела к нуклеокапсидному белку коронавируса SARS-CoV-2, IgG, качественное определение",750 р.,CMD,17.12.2023
170117,Возбудители респираторных инфекций,"РНК SARS-CoV-2 (COVID-19), качественное определение. Выявление всех распространенных штаммов коронавируса SARS-CoV-2, в том числе вариант «Омикрон» и его субвариант «Кентавр»",1 250 р.,CMD,17.12.2023
170103,Возбудители респираторных инфекций,"Возбудители респираторных инфекций (Mycoplasma pneumoniae / Chlamydophila pneumoniae / Pneumocystis jirovecii (carinii)), качественное определение ДНК (мазок из ротоглотки и др.)",835 р.,CMD,17.12.2023
170101,Возбудители респираторных инфекций,"Возбудители респираторных инфекций (Mycoplasma pneumoniae / Chlamydophila pneumoniae), качественное определение ДНК (мазок из ротоглотки и др.)",735 р.,CMD,17.12.2023
032402,Возбудители респираторных инфекций,Диагностика ОРВИ,2 510 р.,CMD,17.12.2023
170250,Возбудители респираторных инфекций,"Staphylococcus spp. (метициллин-резистентные MRSA, MRCoNS и метициллин-чувствительные MSSA штаммы), количественное определение ДНК",715 р.,CMD,17.12.2023
011500,Возбудители респираторных инфекций,"ДНК Pseudomonas aeruginosa (синегнойная палочка), количественное определение",895 р.,CMD,17.12.2023
044201,Возбудители респираторных инфекций,"Легионелла (Legionella pneumophila), качественное определение антигена серогруппы 1",2 620 р.,CMD,17.12.2023
041505,Возбудители респираторных инфекций,"Антитела IgM к Mycoplasma pneumoniae (Anti-Mycoplasma pneumoniae IgM), качественное определение",645 р.,CMD,17.12.2023
041504,Возбудители респираторных инфекций,"Антитела IgA к Mycoplasma pneumoniae (Anti-Mycoplasma pneumoniae IgA), количественное определение",645 р.,CMD,17.12.2023
041503,Возбудители респираторных инфекций,"Антитела IgG к Mycoplasma pneumoniae (Anti-Mycoplasma pneumoniae IgG), количественное определение",645 р.,CMD,17.12.2023
